* ====================================================================
* record-id : 20260808-023237-61e0c25
* testbench : tb_device_mv_fet.spice
* corner    : typical
* temp      : 27 C
* supply    : n/a (no supply rail in this device-level testbench)
* pdk       : gf180mcuD (/home/ubuntu/.volare/gf180mcuD)
* ngspice   : ngspice-46 : Circuit level simulation program
147	2.9400000000e-01	2.9400000000e-01	9.4055946642e-05	-2.648669602e-05	8.6792785896e-05	-2.184106070e-05	9.1112001718e-05	-2.172755815e-05	
148	2.9600000000e-01	2.9600000000e-01	9.4920161460e-05	-2.676132224e-05	8.7708297539e-05	-2.212087621e-05	9.2590934642e-05	-2.221726490e-05	
149	2.9800000000e-01	2.9800000000e-01	9.5781330979e-05	-2.703484761e-05	8.8620724635e-05	-2.239965830e-05	9.4062225546e-05	-2.270542012e-05	
150	3.0000000000e-01	3.0000000000e-01	9.6639468804e-05	-2.730727886e-05	8.9530093314e-05	-2.267741328e-05	9.5525844880e-05	-2.319198792e-05	
151	3.0200000000e-01	3.0200000000e-01	9.7494588145e-05	-2.757862267e-05	9.0436428889e-05	-2.295414737e-05	9.6981769668e-05	-2.367693725e-05	
152	3.0400000000e-01	3.0400000000e-01	9.8346701831e-05	-2.784888571e-05	9.1339755897e-05	-2.322986665e-05	9.8429982950e-05	-2.416024136e-05	
153	3.0600000000e-01	3.0600000000e-01	9.9195822327e-05	-2.811807455e-05	9.2240098121e-05	-2.350457709e-05	9.9870473263e-05	-2.464187730e-05	
154	3.0800000000e-01	3.0800000000e-01	1.0004196174e-04	-2.838619576e-05	9.3137478627e-05	-2.377828458e-05	1.0130323417e-04	-2.512182553e-05	
155	3.1000000000e-01	3.1000000000e-01	1.0088513186e-04	-2.865325584e-05	9.4031919791e-05	-2.405099491e-05	1.0272826381e-04	-2.560006953e-05	
156	3.1200000000e-01	3.1200000000e-01	1.0172534412e-04	-2.891926127e-05	9.4923443324e-05	-2.432271379e-05	1.0414556455e-04	-2.607659540e-05	
157	3.1400000000e-01	3.1400000000e-01	1.0256260966e-04	-2.918421845e-05	9.5812070299e-05	-2.459344688e-05	1.0555514255e-04	-2.655139167e-05	
158	3.1600000000e-01	3.1600000000e-01	1.0339693932e-04	-2.944813376e-05	9.6697821176e-05	-2.486319973e-05	1.0695700748e-04	-2.702444891e-05	
159	3.1800000000e-01	3.1800000000e-01	1.0422834365e-04	-2.971101353e-05	9.7580715823e-05	-2.513197787e-05	1.0835117219e-04	-2.749575960e-05	
160	3.2000000000e-01	3.2000000000e-01	1.0505683292e-04	-2.997286404e-05	9.8460773539e-05	-2.539978674e-05	1.0973765246e-04	-2.796531782e-05	
161	3.2200000000e-01	3.2200000000e-01	1.0588241713e-04	-3.023369153e-05	9.9338013076e-05	-2.566663175e-05	1.1111646667e-04	-2.843311915e-05	
162	3.2400000000e-01	3.2400000000e-01	1.0670510602e-04	-3.049350220e-05	1.0021245266e-04	-2.593251824e-05	1.1248763565e-04	-2.889916044e-05	
163	3.2600000000e-01	3.2600000000e-01	1.0752490910e-04	-3.075230220e-05	1.0108410999e-04	-2.619745150e-05	1.1385118241e-04	-2.936343968e-05	
164	3.2800000000e-01	3.2800000000e-01	1.0834183562e-04	-3.101009764e-05	1.0195300231e-04	-2.646143681e-05	1.1520713193e-04	-2.982595590e-05	
165	3.3000000000e-01	3.3000000000e-01	1.0915589461e-04	-3.126689458e-05	1.0281914635e-04	-2.672447936e-05	1.1655551102e-04	-3.028670901e-05	
166	3.3200000000e-01	3.3200000000e-01	1.0996709490e-04	-3.152269903e-05	1.0368255841e-04	-2.698658432e-05	1.1789634813e-04	-3.074569973e-05	
167	3.3400000000e-01	3.3400000000e-01	1.1077544507e-04	-3.177751698e-05	1.0454325434e-04	-2.724775684e-05	1.1922967317e-04	-3.120292946e-05	
168	3.3600000000e-01	3.3600000000e-01	1.1158095354e-04	-3.203135435e-05	1.0540124956e-04	-2.750800200e-05	1.2055551740e-04	-3.165840026e-05	
169	3.3800000000e-01	3.3800000000e-01	1.1238362849e-04	-3.228421704e-05	1.0625655908e-04	-2.776732486e-05	1.2187391330e-04	-3.211211472e-05	
170	3.4000000000e-01	3.4000000000e-01	1.1318347796e-04	-3.253611089e-05	1.0710919751e-04	-2.802573045e-05	1.2318489443e-04	-3.256407594e-05	
171	3.4200000000e-01	3.4200000000e-01	1.1398050977e-04	-3.278704169e-05	1.0795917909e-04	-2.828322374e-05	1.2448849532e-04	-3.301428745e-05	
172	3.4400000000e-01	3.4400000000e-01	1.1477473159e-04	-3.303701522e-05	1.0880651768e-04	-2.853980969e-05	1.2578475137e-04	-3.346275317e-05	
173	3.4600000000e-01	3.4600000000e-01	1.1556615091e-04	-3.328603719e-05	1.0965122676e-04	-2.879549323e-05	1.2707369879e-04	-3.390947735e-05	
174	3.4800000000e-01	3.4800000000e-01	1.1635477507e-04	-3.353411327e-05	1.1049331949e-04	-2.905027924e-05	1.2835537445e-04	-3.435446457e-05	
175	3.5000000000e-01	3.5000000000e-01	1.1714061125e-04	-3.378124910e-05	1.1133280869e-04	-2.930417258e-05	1.2962981586e-04	-3.479771966e-05	
176	3.5200000000e-01	3.5200000000e-01	1.1792366650e-04	-3.402745026e-05	1.1216970685e-04	-2.955717808e-05	1.3089706107e-04	-3.523924772e-05	
177	3.5400000000e-01	3.5400000000e-01	1.1870394769e-04	-3.427272231e-05	1.1300402614e-04	-2.980930053e-05	1.3215714860e-04	-3.567905402e-05	
178	3.5600000000e-01	3.5600000000e-01	1.1948146161e-04	-3.451707074e-05	1.1383577844e-04	-3.006054469e-05	1.3341011737e-04	-3.611714407e-05	
179	3.5800000000e-01	3.5800000000e-01	1.2025621486e-04	-3.476050104e-05	1.1466497532e-04	-3.031091530e-05	1.3465600670e-04	-3.655352351e-05	
180	3.6000000000e-01	3.6000000000e-01	1.2102821396e-04	-3.500301861e-05	1.1549162808e-04	-3.056041706e-05	1.3589485617e-04	-3.698819815e-05	
181	3.6200000000e-01	3.6200000000e-01	1.2179746529e-04	-3.524462886e-05	1.1631574774e-04	-3.080905466e-05	1.3712670565e-04	-3.742117395e-05	
182	3.6400000000e-01	3.6400000000e-01	1.2256397512e-04	-3.548533711e-05	1.1713734505e-04	-3.105683273e-05	1.3835159520e-04	-3.785245695e-05	
183	3.6600000000e-01	3.6600000000e-01	1.2332774960e-04	-3.572514868e-05	1.1795643051e-04	-3.130375588e-05	1.3956956507e-04	-3.828205332e-05	
184	3.6800000000e-01	3.6800000000e-01	1.2408879480e-04	-3.596406882e-05	1.1877301436e-04	-3.154982872e-05	1.4078065564e-04	-3.870996933e-05	
185	3.7000000000e-01	3.7000000000e-01	1.2484711666e-04	-3.620210277e-05	1.1958710660e-04	-3.179505579e-05	1.4198490740e-04	-3.913621131e-05	
186	3.7200000000e-01	3.7200000000e-01	1.2560272104e-04	-3.643925570e-05	1.2039871701e-04	-3.203944163e-05	1.4318236089e-04	-3.956078569e-05	
187	3.7400000000e-01	3.7400000000e-01	1.2635561371e-04	-3.667553277e-05	1.2120785512e-04	-3.228299073e-05	1.4437305672e-04	-3.998369895e-05	
188	3.7600000000e-01	3.7600000000e-01	1.2710580032e-04	-3.691093907e-05	1.2201453026e-04	-3.252570757e-05	1.4555703549e-04	-4.040495762e-05	
189	3.7800000000e-01	3.7800000000e-01	1.2785328649e-04	-3.714547967e-05	1.2281875154e-04	-3.276759659e-05	1.4673433781e-04	-4.082456829e-05	
190	3.8000000000e-01	3.8000000000e-01	1.2859807770e-04	-3.737915961e-05	1.2362052787e-04	-3.300866222e-05	1.4790500424e-04	-4.124253761e-05	
191	3.8200000000e-01	3.8200000000e-01	1.2934017940e-04	-3.761198388e-05	1.2441986795e-04	-3.324890883e-05	1.4906907532e-04	-4.165887224e-05	
192	3.8400000000e-01	3.8400000000e-01	1.3007959694e-04	-3.784395743e-05	1.2521678029e-04	-3.348834078e-05	1.5022659148e-04	-4.207357888e-05	
193	3.8600000000e-01	3.8600000000e-01	1.3081633560e-04	-3.807508517e-05	1.2601127324e-04	-3.372696241e-05	1.5137759310e-04	-4.248666427e-05	
194	3.8800000000e-01	3.8800000000e-01	1.3155040060e-04	-3.830537200e-05	1.2680335492e-04	-3.396477803e-05	1.5252212042e-04	-4.289813518e-05	
195	3.9000000000e-01	3.9000000000e-01	1.3228179710e-04	-3.853482274e-05	1.2759303331e-04	-3.420179190e-05	1.5366021361e-04	-4.330799837e-05	
196	3.9200000000e-01	3.9200000000e-01	1.3301053018e-04	-3.876344220e-05	1.2838031621e-04	-3.443800828e-05	1.5479191266e-04	-4.371626064e-05	
197	3.9400000000e-01	3.9400000000e-01	1.3373660489e-04	-3.899123516e-05	1.2916521126e-04	-3.467343139e-05	1.5591725745e-04	-4.412292880e-05	
198	3.9600000000e-01	3.9600000000e-01	1.3446002619e-04	-3.921820634e-05	1.2994772594e-04	-3.490806542e-05	1.5703628770e-04	-4.452800967e-05	
199	3.9800000000e-01	3.9800000000e-01	1.3518079901e-04	-3.944436045e-05	1.3072786757e-04	-3.514191454e-05	1.5814904297e-04	-4.493151008e-05	
200	4.0000000000e-01	4.0000000000e-01	1.3589892823e-04	-3.966970214e-05	1.3150564332e-04	-3.537498289e-05	1.5925556264e-04	-4.533343686e-05	
201	4.0200000000e-01	4.0200000000e-01	1.3661441868e-04	-3.989423605e-05	1.3228106023e-04	-3.560727458e-05	1.6035588591e-04	-4.573379684e-05	
202	4.0400000000e-01	4.0400000000e-01	1.3732727513e-04	-4.011796677e-05	1.3305412519e-04	-3.583879370e-05	1.6145005181e-04	-4.613259687e-05	
203	4.0600000000e-01	4.0600000000e-01	1.3803750231e-04	-4.034089884e-05	1.3382484495e-04	-3.606954430e-05	1.6253809916e-04	-4.652984377e-05	
204	4.0800000000e-01	4.0800000000e-01	1.3874510494e-04	-4.056303681e-05	1.3459322613e-04	-3.629953043e-05	1.6362006658e-04	-4.692554438e-05	
205	4.1000000000e-01	4.1000000000e-01	1.3945008766e-04	-4.078438515e-05	1.3535927524e-04	-3.652875608e-05	1.6469599250e-04	-4.731970552e-05	
206	4.1200000000e-01	4.1200000000e-01	1.4015245510e-04	-4.100494832e-05	1.3612299864e-04	-3.675722523e-05	1.6576591512e-04	-4.771233402e-05	
207	4.1400000000e-01	4.1400000000e-01	1.4085221185e-04	-4.122473075e-05	1.3688440259e-04	-3.698494185e-05	1.6682987245e-04	-4.810343669e-05	
208	4.1600000000e-01	4.1600000000e-01	1.4154936245e-04	-4.144373681e-05	1.3764349323e-04	-3.721190985e-05	1.6788790225e-04	-4.849302033e-05	
209	4.1800000000e-01	4.1800000000e-01	1.4224391144e-04	-4.166197088e-05	1.3840027659e-04	-3.743813314e-05	1.6894004209e-04	-4.888109173e-05	
210	4.2000000000e-01	4.2000000000e-01	1.4293586331e-04	-4.187943727e-05	1.3915475858e-04	-3.766361560e-05	1.6998632930e-04	-4.926765768e-05	
211	4.2200000000e-01	4.2200000000e-01	1.4362522253e-04	-4.209614027e-05	1.3990694502e-04	-3.788836107e-05	1.7102680099e-04	-4.965272495e-05	
212	4.2400000000e-01	4.2400000000e-01	1.4431199354e-04	-4.231208414e-05	1.4065684163e-04	-3.811237338e-05	1.7206149403e-04	-5.003630028e-05	
213	4.2600000000e-01	4.2600000000e-01	1.4499618076e-04	-4.252727311e-05	1.4140445401e-04	-3.833565634e-05	1.7309044506e-04	-5.041839042e-05	
214	4.2800000000e-01	4.2800000000e-01	1.4567778858e-04	-4.274171137e-05	1.4214978769e-04	-3.855821371e-05	1.7411369051e-04	-5.079900209e-05	
215	4.3000000000e-01	4.3000000000e-01	1.4635682139e-04	-4.295540309e-05	1.4289284810e-04	-3.878004924e-05	1.7513126654e-04	-5.117814200e-05	
216	4.3200000000e-01	4.3200000000e-01	1.4703328355e-04	-4.316835240e-05	1.4363364058e-04	-3.900116666e-05	1.7614320910e-04	-5.155581682e-05	
217	4.3400000000e-01	4.3400000000e-01	1.4770717939e-04	-4.338056341e-05	1.4437217038e-04	-3.922156967e-05	1.7714955390e-04	-5.193203325e-05	
218	4.3600000000e-01	4.3600000000e-01	1.4837851323e-04	-4.359204018e-05	1.4510844267e-04	-3.944126194e-05	1.7815033641e-04	-5.230679791e-05	
219	4.3800000000e-01	4.3800000000e-01	1.4904728939e-04	-4.380278676e-05	1.4584246253e-04	-3.966024713e-05	1.7914559185e-04	-5.268011746e-05	
220	4.4000000000e-01	4.4000000000e-01	1.4971351217e-04	-4.401280716e-05	1.4657423499e-04	-3.987852886e-05	1.8013535523e-04	-5.305199848e-05	
221	4.4200000000e-01	4.4200000000e-01	1.5037718584e-04	-4.422210536e-05	1.4730376498e-04	-4.009611073e-05	1.8111966130e-04	-5.342244759e-05	
222	4.4400000000e-01	4.4400000000e-01	1.5103831468e-04	-4.443068531e-05	1.4803105736e-04	-4.031299633e-05	1.8209854458e-04	-5.379147133e-05	
223	4.4600000000e-01	4.4600000000e-01	1.5169690296e-04	-4.463855095e-05	1.4875611693e-04	-4.052918920e-05	1.8307203934e-04	-5.415907626e-05	
224	4.4800000000e-01	4.4800000000e-01	1.5235295491e-04	-4.484570615e-05	1.4947894840e-04	-4.074469288e-05	1.8404017964e-04	-5.452526889e-05	
225	4.5000000000e-01	4.5000000000e-01	1.5300647480e-04	-4.505215479e-05	1.5019955645e-04	-4.095951088e-05	1.8500299927e-04	-5.489005574e-05	
226	4.5200000000e-01	4.5200000000e-01	1.5365746686e-04	-4.525790071e-05	1.5091794565e-04	-4.117364668e-05	1.8596053181e-04	-5.525344326e-05	
227	4.5400000000e-01	4.5400000000e-01	1.5430593531e-04	-4.546294771e-05	1.5163412056e-04	-4.138710374e-05	1.8691281058e-04	-5.561543792e-05	
228	4.5600000000e-01	4.5600000000e-01	1.5495188440e-04	-4.566729958e-05	1.5234808564e-04	-4.159988550e-05	1.8785986869e-04	-5.597604613e-05	
229	4.5800000000e-01	4.5800000000e-01	1.5559531834e-04	-4.587096006e-05	1.5305984531e-04	-4.181199538e-05	1.8880173899e-04	-5.633527431e-05	
230	4.6000000000e-01	4.6000000000e-01	1.5623624136e-04	-4.607393290e-05	1.5376940393e-04	-4.202343677e-05	1.8973845412e-04	-5.669312882e-05	
231	4.6200000000e-01	4.6200000000e-01	1.5687465767e-04	-4.627622178e-05	1.5447676580e-04	-4.223421303e-05	1.9067004648e-04	-5.704961602e-05	
232	4.6400000000e-01	4.6400000000e-01	1.5751057149e-04	-4.647783037e-05	1.5518193520e-04	-4.244432753e-05	1.9159654822e-04	-5.740474223e-05	
233	4.6600000000e-01	4.6600000000e-01	1.5814398704e-04	-4.667876233e-05	1.5588491631e-04	-4.265378357e-05	1.9251799128e-04	-5.775851375e-05	
234	4.6800000000e-01	4.6800000000e-01	1.5877490854e-04	-4.687902126e-05	1.5658571330e-04	-4.286258447e-05	1.9343440735e-04	-5.811093685e-05	
235	4.7000000000e-01	4.7000000000e-01	1.5940334020e-04	-4.707861077e-05	1.5728433029e-04	-4.307073351e-05	1.9434582793e-04	-5.846201778e-05	
236	4.7200000000e-01	4.7200000000e-01	1.6002928624e-04	-4.727753442e-05	1.5798077132e-04	-4.327823395e-05	1.9525228425e-04	-5.881176276e-05	
237	4.7400000000e-01	4.7400000000e-01	1.6065275088e-04	-4.747579575e-05	1.5867504044e-04	-4.348508902e-05	1.9615380733e-04	-5.916017798e-05	
238	4.7600000000e-01	4.7600000000e-01	1.6127373835e-04	-4.767339828e-05	1.5936714162e-04	-4.369130194e-05	1.9705042797e-04	-5.950726961e-05	
239	4.7800000000e-01	4.7800000000e-01	1.6189225287e-04	-4.787034548e-05	1.6005707880e-04	-4.389687592e-05	1.9794217674e-04	-5.985304377e-05	
240	4.8000000000e-01	4.8000000000e-01	1.6250829868e-04	-4.806664084e-05	1.6074485589e-04	-4.410181411e-05	1.9882908399e-04	-6.019750659e-05	
241	4.8200000000e-01	4.8200000000e-01	1.6312188002e-04	-4.826228778e-05	1.6143047674e-04	-4.430611969e-05	1.9971117986e-04	-6.054066414e-05	
242	4.8400000000e-01	4.8400000000e-01	1.6373300111e-04	-4.845728973e-05	1.6211394520e-04	-4.450979577e-05	2.0058849424e-04	-6.088252248e-05	
243	4.8600000000e-01	4.8600000000e-01	1.6434166622e-04	-4.865165007e-05	1.6279526504e-04	-4.471284548e-05	2.0146105682e-04	-6.122308763e-05	
244	4.8800000000e-01	4.8800000000e-01	1.6494787960e-04	-4.884537217e-05	1.6347444004e-04	-4.491527190e-05	2.0232889710e-04	-6.156236560e-05	
245	4.9000000000e-01	4.9000000000e-01	1.6555164549e-04	-4.903845937e-05	1.6415147392e-04	-4.511707810e-05	2.0319204431e-04	-6.190036235e-05	
246	4.9200000000e-01	4.9200000000e-01	1.6615296818e-04	-4.923091498e-05	1.6482637039e-04	-4.531826715e-05	2.0405052750e-04	-6.223708383e-05	
247	4.9400000000e-01	4.9400000000e-01	1.6675185193e-04	-4.942274231e-05	1.6549913310e-04	-4.551884205e-05	2.0490437552e-04	-6.257253595e-05	
248	4.9600000000e-01	4.9600000000e-01	1.6734830103e-04	-4.961394463e-05	1.6616976569e-04	-4.571880584e-05	2.0575361697e-04	-6.290672459e-05	
249	4.9800000000e-01	4.9800000000e-01	1.6794231977e-04	-4.980452517e-05	1.6683827179e-04	-4.591816150e-05	2.0659828028e-04	-6.323965562e-05	
250	5.0000000000e-01	5.0000000000e-01	1.6853391244e-04	-4.999448717e-05	1.6750465497e-04	-4.611691200e-05	2.0743839363e-04	-6.357133487e-05	
251	5.0200000000e-01	5.0200000000e-01	1.6912308336e-04	-5.018383382e-05	1.6816891881e-04	-4.631506029e-05	2.0827398504e-04	-6.390176812e-05	
252	5.0400000000e-01	5.0400000000e-01	1.6970983684e-04	-5.037256831e-05	1.6883106682e-04	-4.651260931e-05	2.0910508228e-04	-6.423096117e-05	
253	5.0600000000e-01	5.0600000000e-01	1.7029417721e-04	-5.056069379e-05	1.6949110253e-04	-4.670956197e-05	2.0993171296e-04	-6.455891974e-05	
254	5.0800000000e-01	5.0800000000e-01	1.7087610880e-04	-5.074821340e-05	1.7014902943e-04	-4.690592117e-05	2.1075390445e-04	-6.488564956e-05	
255	5.1000000000e-01	5.1000000000e-01	1.7145563596e-04	-5.093513025e-05	1.7080485098e-04	-4.710168978e-05	2.1157168394e-04	-6.521115632e-05	
256	5.1200000000e-01	5.1200000000e-01	1.7203276306e-04	-5.112144742e-05	1.7145857064e-04	-4.729687065e-05	2.1238507842e-04	-6.553544567e-05	
257	5.1400000000e-01	5.1400000000e-01	1.7260749445e-04	-5.130716799e-05	1.7211019183e-04	-4.749146664e-05	2.1319411467e-04	-6.585852324e-05	
258	5.1600000000e-01	5.1600000000e-01	1.7317983452e-04	-5.149229501e-05	1.7275971798e-04	-4.768548055e-05	2.1399881929e-04	-6.618039463e-05	
259	5.1800000000e-01	5.1800000000e-01	1.7374978766e-04	-5.167683149e-05	1.7340715246e-04	-4.787891520e-05	2.1479921868e-04	-6.650106543e-05	
260	5.2000000000e-01	5.2000000000e-01	1.7431735826e-04	-5.186078045e-05	1.7405249866e-04	-4.807177336e-05	2.1559533904e-04	-6.682054117e-05	
261	5.2200000000e-01	5.2200000000e-01	1.7488255075e-04	-5.204414487e-05	1.7469575993e-04	-4.826405779e-05	2.1638720638e-04	-6.713882738e-05	
262	5.2400000000e-01	5.2400000000e-01	1.7544536955e-04	-5.222692770e-05	1.7533693962e-04	-4.845577126e-05	2.1717484654e-04	-6.745592953e-05	
263	5.2600000000e-01	5.2600000000e-01	1.7600581910e-04	-5.240913190e-05	1.7597604107e-04	-4.864691648e-05	2.1795828513e-04	-6.777185310e-05	
264	5.2800000000e-01	5.2800000000e-01	1.7656390383e-04	-5.259076037e-05	1.7661306758e-04	-4.883749617e-05	2.1873754762e-04	-6.808660351e-05	
265	5.3000000000e-01	5.3000000000e-01	1.7711962823e-04	-5.277181604e-05	1.7724802246e-04	-4.902751303e-05	2.1951265925e-04	-6.840018618e-05	
266	5.3200000000e-01	5.3200000000e-01	1.7767299675e-04	-5.295230177e-05	1.7788090900e-04	-4.921696973e-05	2.2028364512e-04	-6.871260647e-05	
267	5.3400000000e-01	5.3400000000e-01	1.7822401390e-04	-5.313222043e-05	1.7851173047e-04	-4.940586893e-05	2.2105053011e-04	-6.902386973e-05	
268	5.3600000000e-01	5.3600000000e-01	1.7877268415e-04	-5.331157485e-05	1.7914049015e-04	-4.959421328e-05	2.2181333894e-04	-6.933398130e-05	
269	5.3800000000e-01	5.3800000000e-01	1.7931901204e-04	-5.349036787e-05	1.7976719129e-04	-4.978200540e-05	2.2257209615e-04	-6.964294645e-05	
270	5.4000000000e-01	5.4000000000e-01	1.7986300208e-04	-5.366860228e-05	1.8039183713e-04	-4.996924791e-05	2.2332682608e-04	-6.995077047e-05	
271	5.4200000000e-01	5.4200000000e-01	1.8040465881e-04	-5.384628087e-05	1.8101443091e-04	-5.015594338e-05	2.2407755292e-04	-7.025745857e-05	
272	5.4400000000e-01	5.4400000000e-01	1.8094398678e-04	-5.402340640e-05	1.8163497587e-04	-5.034209441e-05	2.2482430066e-04	-7.056301599e-05	
273	5.4600000000e-01	5.4600000000e-01	1.8148099056e-04	-5.419998161e-05	1.8225347521e-04	-5.052770355e-05	2.2556709315e-04	-7.086744789e-05	
274	5.4800000000e-01	5.4800000000e-01	1.8201567472e-04	-5.437600924e-05	1.8286993215e-04	-5.071277334e-05	2.2630595403e-04	-7.117075944e-05	
275	5.5000000000e-01	5.5000000000e-01	1.8254804385e-04	-5.455149199e-05	1.8348434989e-04	-5.089730631e-05	2.2704090679e-04	-7.147295576e-05	
276	5.5200000000e-01	5.5200000000e-01	1.8307810255e-04	-5.472643255e-05	1.8409673164e-04	-5.108130498e-05	2.2777197475e-04	-7.177404196e-05	
277	5.5400000000e-01	5.5400000000e-01	1.8360585545e-04	-5.490083360e-05	1.8470708058e-04	-5.126477183e-05	2.2849918105e-04	-7.207402310e-05	
278	5.5600000000e-01	5.5600000000e-01	1.8413130717e-04	-5.507469777e-05	1.8531539989e-04	-5.144770935e-05	2.2922254866e-04	-7.237290425e-05	
279	5.5800000000e-01	5.5800000000e-01	1.8465446235e-04	-5.524802772e-05	1.8592169276e-04	-5.163012000e-05	2.2994210041e-04	-7.267069041e-05	
280	5.6000000000e-01	5.6000000000e-01	1.8517532566e-04	-5.542082606e-05	1.8652596237e-04	-5.181200623e-05	2.3065785895e-04	-7.296738659e-05	
281	5.6200000000e-01	5.6200000000e-01	1.8569390175e-04	-5.559309538e-05	1.8712821187e-04	-5.199337047e-05	2.3136984675e-04	-7.326299775e-05	
282	5.6400000000e-01	5.6400000000e-01	1.8621019532e-04	-5.576483827e-05	1.8772844444e-04	-5.217421514e-05	2.3207808614e-04	-7.355752883e-05	
283	5.6600000000e-01	5.6600000000e-01	1.8672421106e-04	-5.593605729e-05	1.8832666324e-04	-5.235454263e-05	2.3278259929e-04	-7.385098475e-05	
284	5.6800000000e-01	5.6800000000e-01	1.8723595368e-04	-5.610675500e-05	1.8892287143e-04	-5.253435535e-05	2.3348340821e-04	-7.414337039e-05	
285	5.7000000000e-01	5.7000000000e-01	1.8774542789e-04	-5.627693392e-05	1.8951707217e-04	-5.271365565e-05	2.3418053472e-04	-7.443469062e-05	
286	5.7200000000e-01	5.7200000000e-01	1.8825263845e-04	-5.644659656e-05	1.9010926860e-04	-5.289244590e-05	2.3487400054e-04	-7.472495028e-05	
287	5.7400000000e-01	5.7400000000e-01	1.8875759009e-04	-5.661574542e-05	1.9069946388e-04	-5.307072844e-05	2.3556382719e-04	-7.501415417e-05	
288	5.7600000000e-01	5.7600000000e-01	1.8926028758e-04	-5.678438299e-05	1.9128766116e-04	-5.324850559e-05	2.3625003605e-04	-7.530230707e-05	
289	5.7800000000e-01	5.7800000000e-01	1.8976073570e-04	-5.695251172e-05	1.9187386359e-04	-5.342577967e-05	2.3693264835e-04	-7.558941376e-05	
290	5.8000000000e-01	5.8000000000e-01	1.9025893922e-04	-5.712013406e-05	1.9245807432e-04	-5.360255298e-05	2.3761168516e-04	-7.587547895e-05	
291	5.8200000000e-01	5.8200000000e-01	1.9075490296e-04	-5.728725244e-05	1.9304029648e-04	-5.377882779e-05	2.3828716743e-04	-7.616050736e-05	
292	5.8400000000e-01	5.8400000000e-01	1.9124863173e-04	-5.745386928e-05	1.9362053322e-04	-5.395460639e-05	2.3895911591e-04	-7.644450367e-05	
293	5.8600000000e-01	5.8600000000e-01	1.9174013035e-04	-5.761998697e-05	1.9419878770e-04	-5.412989103e-05	2.3962755124e-04	-7.672747254e-05	
294	5.8800000000e-01	5.8800000000e-01	1.9222940366e-04	-5.778560791e-05	1.9477506305e-04	-5.430468394e-05	2.4029249391e-04	-7.700941860e-05	
295	5.9000000000e-01	5.9000000000e-01	1.9271645652e-04	-5.795073444e-05	1.9534936242e-04	-5.447898736e-05	2.4095396425e-04	-7.729034646e-05	
296	5.9200000000e-01	5.9200000000e-01	1.9320129378e-04	-5.811536894e-05	1.9592168895e-04	-5.465280350e-05	2.4161198245e-04	-7.757026070e-05	
297	5.9400000000e-01	5.9400000000e-01	1.9368392034e-04	-5.827951372e-05	1.9649204580e-04	-5.482613456e-05	2.4226656857e-04	-7.784916587e-05	
298	5.9600000000e-01	5.9600000000e-01	1.9416434107e-04	-5.844317112e-05	1.9706043610e-04	-5.499898273e-05	2.4291774251e-04	-7.812706651e-05	
299	5.9800000000e-01	5.9800000000e-01	1.9464256088e-04	-5.860634343e-05	1.9762686301e-04	-5.517135018e-05	2.4356552405e-04	-7.840396713e-05	
300	6.0000000000e-01	6.0000000000e-01	1.9511858468e-04	-5.876903296e-05	1.9819132967e-04	-5.534323907e-05	2.4420993280e-04	-7.867987222e-05	
301	6.0200000000e-01	6.0200000000e-01	1.9559241740e-04	-5.893124196e-05	1.9875383924e-04	-5.551465155e-05	2.4485098827e-04	-7.895478622e-05	
302	6.0400000000e-01	6.0400000000e-01	1.9606406398e-04	-5.909297271e-05	1.9931439488e-04	-5.568558974e-05	2.4548870980e-04	-7.922871358e-05	
303	6.0600000000e-01	6.0600000000e-01	1.9653352937e-04	-5.925422745e-05	1.9987299973e-04	-5.585605578e-05	2.4612311662e-04	-7.950165872e-05	
304	6.0800000000e-01	6.0800000000e-01	1.9700081853e-04	-5.941500841e-05	2.0042965695e-04	-5.602605177e-05	2.4675422780e-04	-7.977362600e-05	
305	6.1000000000e-01	6.1000000000e-01	1.9746593643e-04	-5.957531780e-05	2.0098436971e-04	-5.619557980e-05	2.4738206229e-04	-8.004461982e-05	
306	6.1200000000e-01	6.1200000000e-01	1.9792888805e-04	-5.973515784e-05	2.0153714116e-04	-5.636464196e-05	2.4800663890e-04	-8.031464449e-05	
307	6.1400000000e-01	6.1400000000e-01	1.9838967841e-04	-5.989453069e-05	2.0208797448e-04	-5.653324031e-05	2.4862797633e-04	-8.058370434e-05	
308	6.1600000000e-01	6.1600000000e-01	1.9884831249e-04	-6.005343855e-05	2.0263687283e-04	-5.670137691e-05	2.4924609313e-04	-8.085180367e-05	
309	6.1800000000e-01	6.1800000000e-01	1.9930479533e-04	-6.021188357e-05	2.0318383938e-04	-5.686905380e-05	2.4986100771e-04	-8.111894674e-05	
310	6.2000000000e-01	6.2000000000e-01	1.9975913195e-04	-6.036986790e-05	2.0372887731e-04	-5.703627302e-05	2.5047273838e-04	-8.138513780e-05	
311	6.2200000000e-01	6.2200000000e-01	2.0021132739e-04	-6.052739366e-05	2.0427198979e-04	-5.720303658e-05	2.5108130330e-04	-8.165038108e-05	
312	6.2400000000e-01	6.2400000000e-01	2.0066138671e-04	-6.068446298e-05	2.0481318002e-04	-5.736934649e-05	2.5168672052e-04	-8.191468078e-05	
